properties{
  x = 0,
  y = 0,
  width = 512,
  height = 512,
  min_layer = 0,
  max_layer = 2,
  world = "pyramid_of_power",
  floor = 1,
  tileset = "dungeon/dark_yellow",
  music = "ganon_battle",
}

tile{
  layer = 0,
  x = 88,
  y = 88,
  width = 336,
  height = 320,
  pattern = "hole",
}

tile{
  layer = 0,
  x = 152,
  y = 152,
  width = 208,
  height = 192,
  pattern = "floor.20-1",
}

tile{
  layer = 0,
  x = 168,
  y = 168,
  width = 176,
  height = 160,
  pattern = "floor_low.20-2",
}

tile{
  layer = 0,
  x = 216,
  y = 216,
  width = 80,
  height = 64,
  pattern = "floor.18-2",
}

tile{
  layer = 0,
  x = 88,
  y = 408,
  width = 336,
  height = 24,
  pattern = "wall.2-2",
}

tile{
  layer = 0,
  x = 88,
  y = 64,
  width = 336,
  height = 24,
  pattern = "wall.1-2",
}

tile{
  layer = 0,
  x = 424,
  y = 88,
  width = 24,
  height = 320,
  pattern = "wall.4-2",
}

tile{
  layer = 0,
  x = 64,
  y = 88,
  width = 24,
  height = 320,
  pattern = "wall.3-2",
}

tile{
  layer = 0,
  x = 64,
  y = 408,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-2",
}

tile{
  layer = 0,
  x = 424,
  y = 64,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-2",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-2",
}

tile{
  layer = 0,
  x = 424,
  y = 408,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-2",
}

tile{
  layer = 0,
  x = 424,
  y = 128,
  width = 24,
  height = 32,
  pattern = "wall_decor.4-6",
}

tile{
  layer = 0,
  x = 64,
  y = 128,
  width = 24,
  height = 32,
  pattern = "wall_decor.3-6",
}

tile{
  layer = 0,
  x = 424,
  y = 352,
  width = 24,
  height = 32,
  pattern = "wall_decor.4-6",
}

tile{
  layer = 0,
  x = 64,
  y = 352,
  width = 24,
  height = 32,
  pattern = "wall_decor.3-6",
}

tile{
  layer = 0,
  x = 168,
  y = 312,
  width = 16,
  height = 16,
  pattern = "torch",
}

tile{
  layer = 0,
  x = 328,
  y = 312,
  width = 16,
  height = 16,
  pattern = "torch",
}

tile{
  layer = 0,
  x = 64,
  y = 240,
  width = 24,
  height = 32,
  pattern = "wall_decor.3-6",
}

tile{
  layer = 0,
  x = 424,
  y = 240,
  width = 24,
  height = 32,
  pattern = "wall_decor.4-6",
}

tile{
  layer = 0,
  x = 144,
  y = 64,
  width = 64,
  height = 24,
  pattern = "full_wall_decor.1-1",
}

tile{
  layer = 0,
  x = 224,
  y = 64,
  width = 64,
  height = 24,
  pattern = "full_wall_decor.1-2",
}

tile{
  layer = 0,
  x = 304,
  y = 64,
  width = 64,
  height = 24,
  pattern = "full_wall_decor.1-1",
}

tile{
  layer = 0,
  x = 240,
  y = 224,
  width = 32,
  height = 24,
  pattern = "triforce.tile-1",
}

tile{
  layer = 0,
  x = 256,
  y = 248,
  width = 32,
  height = 24,
  pattern = "triforce.tile-2",
}

tile{
  layer = 0,
  x = 224,
  y = 248,
  width = 32,
  height = 24,
  pattern = "triforce.tile-2",
}

teletransporter{
  name = "tp_hole_F2_pyramid_of_power_0",
  layer = 0,
  x = 72,
  y = 80,
  width = 392,
  height = 72,
  destination_map = "A Link to the Past/Dark World/Dungeons/Pyramid of Power/F1/F1_pyramid_of_power",
  destination = "dest_hole_F1_pyramid_of_power_0",
}

teletransporter{
  name = "tp_hole_F2_pyramid_of_power_1",
  layer = 0,
  x = 48,
  y = 152,
  width = 104,
  height = 192,
  destination_map = "A Link to the Past/Dark World/Dungeons/Pyramid of Power/F1/F1_pyramid_of_power",
  destination = "dest_hole_F1_pyramid_of_power_1",
}

teletransporter{
  name = "tp_hole_F2_pyramid_of_power_2",
  layer = 0,
  x = 360,
  y = 152,
  width = 104,
  height = 192,
  destination_map = "A Link to the Past/Dark World/Dungeons/Pyramid of Power/F1/F1_pyramid_of_power",
  destination = "dest_hole_F1_pyramid_of_power_2",
}

teletransporter{
  name = "tp_hole_F2_pyramid_of_power_3",
  layer = 0,
  x = 48,
  y = 344,
  width = 416,
  height = 112,
  destination_map = "A Link to the Past/Dark World/Dungeons/Pyramid of Power/F1/F1_pyramid_of_power",
  destination = "dest_hole_F1_pyramid_of_power_3",
}

enemy{
  name = "boss_ganon",
  layer = 0,
  x = 256,
  y = 181,
  enabled_at_start = false,
  direction = 3,
  breed = "bosses/ganon",
}

sensor{
  name = "sensor_boss",
  layer = 0,
  x = 256,
  y = 325,
  width = 16,
  height = 16,
}

tile{
  layer = 1,
  x = 8,
  y = 0,
  width = 504,
  height = 64,
  pattern = "ceiling.1",
}

tile{
  layer = 1,
  x = 448,
  y = 0,
  width = 64,
  height = 512,
  pattern = "ceiling.1",
}

tile{
  layer = 1,
  x = 0,
  y = 432,
  width = 512,
  height = 80,
  pattern = "ceiling.1",
}

tile{
  layer = 1,
  x = 0,
  y = 0,
  width = 64,
  height = 512,
  pattern = "ceiling.1",
}

tile{
  layer = 2,
  x = 48,
  y = 48,
  width = 8,
  height = 16,
  pattern = "19",
}

tile{
  layer = 2,
  x = 56,
  y = 48,
  width = 8,
  height = 16,
  pattern = "3",
}

destination{
  name = "dest_secret",
  layer = 2,
  x = 256,
  y = 261,
  direction = 3,
  default = true,
}

destination{
  name = "dest_hole_F2_pyramid_of_power_0",
  layer = 2,
  x = 256,
  y = 325,
  direction = 3,
}

